alias,numcoffeemen,numreviews,fraccof
103rd-street-coffee-cart-new-york,2.0,3,0.6666666666666666
11th-street-cafe-new-york,62.0,100,0.62
12-corners-new-york-4,89.0,108,0.8240740740740741
2beans-new-york,78.0,102,0.7647058823529411
49-st-deli-and-coffee-house-new-york,0.0,3,0.0
52nd-and-lexington-breakfast-cart-new-york,1.0,1,1.0
7-eleven-new-york-16,5.0,18,0.2777777777777778
7-eleven-new-york-17,7.0,14,0.5
7-eleven-new-york-2,7.0,34,0.20588235294117646
7-eleven-new-york-21,8.0,27,0.2962962962962963
7-eleven-new-york-23,2.0,18,0.1111111111111111
7-eleven-new-york-27,3.0,5,0.6
7-eleven-new-york-29,3.0,19,0.15789473684210525
7-eleven-new-york-3,6.0,34,0.17647058823529413
7-eleven-new-york-36,2.0,10,0.2
7-eleven-new-york-37,3.0,11,0.2727272727272727
7-eleven-new-york-39,3.0,6,0.5
7-eleven-new-york-47,3.0,21,0.14285714285714285
7-eleven-new-york-49,1.0,6,0.16666666666666666
7-eleven-new-york-51,8.0,34,0.23529411764705882
7-eleven-new-york-57,0.0,20,0.0
7-eleven-new-york-60,2.0,10,0.2
7-eleven-new-york-7,8.0,26,0.3076923076923077
7-eleven-new-york-73,1.0,8,0.125
7-eleven-new-york-74,3.0,12,0.25
7-eleven-new-york-76,0.0,1,0.0
7-eleven-new-york-85,0.0,2,0.0
787-coffee-new-york-2,38.0,40,0.95
787-coffee-new-york-3,20.0,22,0.9090909090909091
787-coffee-new-york-4,6.0,6,1.0
787-coffee-new-york-5,14.0,17,0.8235294117647058
87-st-deli-new-york,0.0,1,0.0
abingdon-market-new-york,0.0,8,0.0
about-coffee-new-york-2,65.0,68,0.9558823529411765
about-coffee-new-york-3,30.0,35,0.8571428571428571
ad-hoc-collective-new-york,28.0,40,0.7
aleef-cafe-new-york,5.0,18,0.2777777777777778
alices-tea-cup-to-go-brooklyn,7.0,16,0.4375
alidoro-new-york-2,3.0,40,0.075
alidoro-new-york-6,1.0,6,0.16666666666666666
allegro-coffee-company-new-york,1.0,1,1.0
allegro-coffee-roasters-new-york,11.0,13,0.8461538461538461
american-coffee-new-york,1.0,1,1.0
amorino-gelato-new-york-6,10.0,40,0.25
amy-s-bread-at-nypl-new-york,2.0,3,0.6666666666666666
amys-bread-new-york,3.0,20,0.15
amys-bread-new-york-4,6.0,40,0.15
après-ski-chalet-new-york,1.0,7,0.14285714285714285
argo-tea-cafe-new-york-8,11.0,32,0.34375
argo-tea-new-york-2,11.0,40,0.275
argo-tea-new-york-4,18.0,33,0.5454545454545454
ariccia-new-york,8.0,13,0.6153846153846154
aroma-espresso-bar-new-york-4,54.0,100,0.54
ashbys-new-york,9.0,40,0.225
ateaz-organic-coffee-and-tea-upper-east-side-new-york,50.0,75,0.6666666666666666
atlas-cafe-and-bakery-new-york-2,16.0,40,0.4
audrey-bakery-and-cafe-new-york-2,1.0,20,0.05
audreys-coffee-and-sandwich-shop-brooklyn,0.0,1,0.0
b-cup-café-new-york-5,34.0,40,0.85
bagel-bobs-on-york-new-york,10.0,100,0.1
bagel-boss-murray-hill-new-york,8.0,40,0.2
bagels-and-schmear-new-york,3.0,40,0.075
bakery-on-3rd-cafe-new-york,9.0,39,0.23076923076923078
bambu-new-york,2.0,8,0.25
bandit-coffee-new-york-4,1.0,1,1.0
bandit-new-york-6,23.0,27,0.8518518518518519
bangklyn-east-harlem-new-york-2,6.0,100,0.06
banter-new-york,22.0,60,0.36666666666666664
banter-new-york-3,16.0,31,0.5161290322580645
bao-by-kaya-new-york-4,0.0,40,0.0
barachou-new-york,13.0,46,0.2826086956521739
barclay-street-cafe-new-york-2,8.0,15,0.5333333333333333
barnes-and-noble-new-york-3,30.0,100,0.3
bay-market-kitchen-new-york,1.0,1,1.0
bean-and-bean-new-york,83.0,100,0.83
bean-and-bean-new-york-3,80.0,100,0.8
bean-coffee-and-tea-new-york,2.0,2,1.0
beanocchio-cafe-new-york,58.0,100,0.58
beard-papas-new-york,7.0,100,0.07
bearin-wheel-pie-new-york,0.0,40,0.0
besfren-new-york,11.0,40,0.275
best-bagel-and-coffee-new-york,25.0,113,0.22123893805309736
bg-restaurant-new-york-2,3.0,40,0.075
bibble-and-sip-new-york-2,4.0,20,0.2
bibble-and-sip-new-york-5,41.0,116,0.35344827586206895
billys-bakery-new-york-2,1.0,20,0.05
bin-no-220-new-york,2.0,40,0.05
birch-coffee-new-york-10,63.0,70,0.9
birch-coffee-new-york-11,89.0,100,0.89
birch-coffee-new-york-14,48.0,55,0.8727272727272727
birch-coffee-new-york-16,38.0,43,0.8837209302325582
birch-coffee-new-york-17,11.0,12,0.9166666666666666
birch-coffee-new-york-19,1.0,1,1.0
birch-coffee-new-york-21,2.0,2,1.0
birch-coffee-new-york-7,92.0,102,0.9019607843137255
birch-coffee-new-york-8,95.0,100,0.95
birch-coffee-new-york-9,89.0,100,0.89
bird-and-branch-new-york,87.0,110,0.7909090909090909
bistro-market-place-new-york-2,4.0,40,0.1
bistro-new-york-international-new-york,0.0,1,0.0
bistro-new-york-international-new-york-5,0.0,2,0.0
black-6-coffee-new-york,2.0,2,1.0
black-fox-coffee-new-york,82.0,102,0.803921568627451
black-fox-coffee-new-york-4,10.0,11,0.9090909090909091
black-press-coffee-new-york,80.0,89,0.898876404494382
black-press-coffee-new-york-3,43.0,45,0.9555555555555556
black-star-bakery-and-cafe-long-island-city,72.0,100,0.72
black-star-bakery-and-cafe-new-york-2,24.0,33,0.7272727272727273
blackstone-coffee-roasters-new-york,44.0,63,0.6984126984126984
blank-slate-coffee-kitchen-new-york-3,51.0,104,0.49038461538461536
blank-slate-midtown-new-york,37.0,70,0.5285714285714286
blank-slate-tea-new-york,60.0,102,0.5882352941176471
blue-and-gold-deli-new-york-2,6.0,26,0.23076923076923078
blue-bottle-coffee-new-york-10,36.0,39,0.9230769230769231
blue-bottle-coffee-new-york-11,89.0,100,0.89
blue-bottle-coffee-new-york-14,37.0,42,0.8809523809523809
blue-bottle-coffee-new-york-15,34.0,40,0.85
blue-bottle-coffee-new-york-16,23.0,28,0.8214285714285714
blue-bottle-coffee-new-york-17,6.0,6,1.0
blue-bottle-coffee-new-york-18,36.0,42,0.8571428571428571
blue-bottle-coffee-new-york-20,22.0,24,0.9166666666666666
blue-bottle-coffee-new-york-22,15.0,16,0.9375
blue-bottle-coffee-new-york-25,6.0,6,1.0
blue-bottle-coffee-new-york-26,2.0,5,0.4
blue-bottle-coffee-new-york-3,86.0,101,0.8514851485148515
blue-bottle-coffee-new-york-6,93.0,100,0.93
blue-bottle-coffee-new-york-8,32.0,40,0.8
blue-java-new-york,2.0,2,1.0
blue-java-new-york-2,1.0,1,1.0
blue-spoon-coffee-new-york,72.0,100,0.72
blue-star-coffee-new-york,1.0,1,1.0
blue-stripes-cacao-shop-new-york,10.0,20,0.5
bluestockings-new-york,21.0,60,0.35
bluestone-lane-bowery-cafe-new-york,1.0,4,0.25
bluestone-lane-brooklyn,78.0,102,0.7647058823529411
bluestone-lane-new-york-10,81.0,102,0.7941176470588235
bluestone-lane-new-york-11,75.0,100,0.75
bluestone-lane-new-york-17,79.0,105,0.7523809523809524
bluestone-lane-new-york-19,49.0,93,0.5268817204301075
bluestone-lane-new-york-20,42.0,54,0.7777777777777778
bluestone-lane-new-york-21,76.0,100,0.76
bluestone-lane-new-york-22,33.0,40,0.825
bluestone-lane-new-york-24,14.0,18,0.7777777777777778
bluestone-lane-new-york-25,49.0,100,0.49
bluestone-lane-new-york-27,18.0,21,0.8571428571428571
bluestone-lane-new-york-28,20.0,35,0.5714285714285714
bluestone-lane-new-york-3,54.0,105,0.5142857142857142
bluestone-lane-new-york-32,4.0,9,0.4444444444444444
bluestone-lane-new-york-5,77.0,101,0.7623762376237624
bluestone-lane-new-york-7,52.0,100,0.52
bluestone-lane-new-york-8,53.0,100,0.53
bluestone-lane-new-york-9,37.0,54,0.6851851851851852
boba-dumbo-brooklyn,1.0,8,0.125
boba-guys-new-york,15.0,60,0.25
bon-vivant-new-york-new-york-3,26.0,44,0.5909090909090909
bonjour-crepes-and-wine-new-york,16.0,100,0.16
bonjour-crepes-and-wine-new-york-2,26.0,100,0.26
bonmi-new-york-3,2.0,40,0.05
bonsai-kakigōri-new-york-3,15.0,60,0.25
book-club-new-york,15.0,17,0.8823529411764706
boris-and-horton-new-york,31.0,40,0.775
bosie-new-york,7.0,60,0.11666666666666667
boule-and-cherie-new-york,75.0,100,0.75
box-kite-coffee-new-york-4,94.0,100,0.94
bread-and-spread-dumbo,3.0,40,0.075
breads-bakery-new-york-13,6.0,40,0.15
breads-bakery-new-york-9,36.0,101,0.3564356435643564
bridge-coffee-shop-new-york,7.0,27,0.25925925925925924
brigadeiro-bakery-new-york-3,36.0,100,0.36
broadway-au-lait-new-york,31.0,46,0.6739130434782609
brooklyn-bagel-and-coffee-company-new-york-8,4.0,40,0.1
brooklyn-diamond-coffee-new-york,76.0,89,0.8539325842696629
brooklyn-diamond-coffee-new-york-5,24.0,27,0.8888888888888888
brooklyn-roasting-company-brooklyn-11,19.0,24,0.7916666666666666
brooklyn-roasting-company-brooklyn-2,98.0,105,0.9333333333333333
brooklyn-roasting-company-new-york,93.0,103,0.9029126213592233
brothers-bakery-cafe-new-york,18.0,71,0.2535211267605634
browns-bagels-new-york,7.0,40,0.175
brownsville-roasters-new-york,17.0,19,0.8947368421052632
buongiorno-espresso-bar-new-york,62.0,78,0.7948717948717948
by-the-way-bakery-new-york,8.0,100,0.08
bāng-bar-new-york-3,5.0,40,0.125
c-and-b-at-paper-daisy-new-york,1.0,2,0.5
c-and-b-new-york,19.0,40,0.475
cafe-900-new-york,1.0,1,1.0
cafe-aloaf-new-york,9.0,20,0.45
cafe-belle-new-york,40.0,60,0.6666666666666666
cafe-bleriot-xi-new-york,55.0,68,0.8088235294117647
cafe-bravo-new-york-3,3.0,20,0.15
cafe-d-avignon-the-plaza-new-york,9.0,24,0.375
cafe-gitane-brooklyn,1.0,7,0.14285714285714285
cafe-grumpy-new-york-10,44.0,47,0.9361702127659575
cafe-grumpy-new-york-12,31.0,35,0.8857142857142857
cafe-grumpy-new-york-6,36.0,40,0.9
cafe-hanamizuki-new-york,49.0,103,0.47572815533980584
cafe-la-cerra-new-york-2,4.0,4,1.0
cafe-noi-new-york,63.0,100,0.63
cafe-olympia-new-york,11.0,40,0.275
cafe-patoro-new-york,73.0,100,0.73
cafe-patoro-new-york-2,1.0,2,0.5
cafe-sabarsky-new-york-4,67.0,100,0.67
cafe-serai-new-york-2,6.0,13,0.46153846153846156
cafe-space-212-new-york,2.0,18,0.1111111111111111
cafe-zaiya-new-york-10,53.0,103,0.5145631067961165
cafecito-to-go-new-york,4.0,5,0.8
caffe-aronne-manhattan,1.0,2,0.5
caffe-bene-new-york-18,19.0,51,0.37254901960784315
caffe-bene-new-york-34,46.0,82,0.5609756097560976
caffe-bene-new-york-37,42.0,100,0.42
caffe-bon-greenwich-3,0.0,2,0.0
caffe-marchio-new-york-2,47.0,60,0.7833333333333333
caffe-palermo-new-york-2,32.0,103,0.3106796116504854
caffe-roma-pastry-new-york,51.0,100,0.51
caffe-vergnano-new-york,15.0,17,0.8823529411764706
caffe-vita-lower-east-side-new-york,52.0,60,0.8666666666666667
caffettino-new-york-2,1.0,1,1.0
caffè-panna-new-york,59.0,106,0.5566037735849056
café-angelique-new-york-3,65.0,100,0.65
café-by-shiki-nyc-new-york,3.0,5,0.6
café-east-new-york-2,14.0,27,0.5185185185185185
café-fledermaus-new-york-2,19.0,26,0.7307692307692307
café-grumpy-new-york-4,94.0,100,0.94
café-integral-new-york-2,76.0,84,0.9047619047619048
café-leon-dore-new-york,4.0,4,1.0
café-m-new-york-2,66.0,101,0.6534653465346535
calaveras-cafe-nyc-new-york-2,1.0,1,1.0
camellia-milk-tea-new-york-2,0.0,7,0.0
capital-one-bank-new-york-77,17.0,26,0.6538461538461539
capo-new-york,9.0,9,1.0
carb-cart-new-york,1.0,1,1.0
carnegie-cup-cafe-new-york-2,14.0,22,0.6363636363636364
casa-java-new-york,5.0,7,0.7142857142857143
casa-toscana-new-york-7,0.0,1,0.0
central-market-new-york-6,2.0,8,0.25
cha-cha-matcha-new-york-13,31.0,67,0.4626865671641791
cha-cha-matcha-new-york-14,5.0,8,0.625
cha-cha-matcha-new-york-8,31.0,112,0.2767857142857143
cha-cha-matcha-new-york-9,49.0,105,0.4666666666666667
chalait-new-york-11,22.0,38,0.5789473684210527
champion-coffee-new-york-2,12.0,14,0.8571428571428571
champion-coffee-new-york-3,18.0,21,0.8571428571428571
champion-coffee-new-york-4,13.0,17,0.7647058823529411
charley-st-new-york,36.0,105,0.34285714285714286
charlies-grill-manhattan,0.0,8,0.0
chez-nick-new-york,1.0,16,0.0625
chikalicious-dessert-bar-new-york-3,4.0,60,0.06666666666666667
chillhouse-cafe-new-york,15.0,18,0.8333333333333334
chip-nyc-new-york-9,3.0,40,0.075
chipilo-new-york,1.0,26,0.038461538461538464
chobani-soho-new-york,25.0,107,0.2336448598130841
choco-love-nuts-new-york-2,4.0,7,0.5714285714285714
chokolat-patisserie-new-york,12.0,37,0.32432432432432434
château-le-woof-astoria-2,74.0,98,0.7551020408163265
citizens-of-chelsea-new-york,39.0,111,0.35135135135135137
city-of-saints-coffee-roasters-new-york-5,0.0,1,0.0
city-perk-new-york-2,1.0,4,0.25
classic-coffee-shop-new-york,26.0,44,0.5909090909090909
claudias-coffee-shop-new-york,4.0,4,1.0
clovelly-coffee-new-york,11.0,11,1.0
coco-fresh-tea-and-juice-new-york-12,4.0,40,0.1
coco-fresh-tea-and-juice-new-york-2,6.0,39,0.15384615384615385
coco-fresh-tea-and-juice-new-york-21,1.0,30,0.03333333333333333
coco-fresh-tea-and-juice-new-york-23,1.0,5,0.2
coco-fresh-tea-and-juice-new-york-24,1.0,26,0.038461538461538464
coco-fresh-tea-and-juice-new-york-7,3.0,40,0.075
coco-moka-cafe-new-york-2,6.0,7,0.8571428571428571
cofesta-new-york-3,37.0,44,0.8409090909090909
coffee-and-green-queens,1.0,2,0.5
coffee-associates-edgewater,0.0,1,0.0
coffee-at-le-district-new-york,14.0,17,0.8235294117647058
coffee-cart-manhattan-4,1.0,1,1.0
coffee-cart-manhattan-5,1.0,1,1.0
coffee-cart-new-york-3,2.0,2,1.0
coffee-cart-on-120th-and-bdwy-new-york,4.0,6,0.6666666666666666
coffee-cart-on-35th-and-5th-new-york,2.0,3,0.6666666666666666
coffee-cart-on-58th-and-3rd-new-york,1.0,1,1.0
coffee-place-new-york,1.0,1,1.0
coffee-project-new-york-new-york-3,60.0,63,0.9523809523809523
coffee-truck-new-york,1.0,1,1.0
communitea-long-island-city-6,59.0,100,0.59
corner-gourmet-ii-new-york,3.0,37,0.08108108108108109
corner-slice-new-york,5.0,100,0.05
corporate-coffee-systems-new-york,1.0,2,0.5
corrado-bread-and-pastry-new-york,39.0,101,0.38613861386138615
corvo-coffee-new-york-2,84.0,103,0.8155339805825242
corvo-coffee-new-york-4,33.0,48,0.6875
cosmic-diner-new-york-3,3.0,40,0.075
cranberrys-brooklyn,55.0,100,0.55
creme-new-york-2,9.0,10,0.9
crepes-and-waffles-new-york-2,0.0,2,0.0
cucina-and-company-new-york,18.0,100,0.18
culture-36-new-york-2,81.0,100,0.81
culture-espresso-new-york,80.0,101,0.7920792079207921
culture-espresso-new-york-3,43.0,49,0.8775510204081632
cup-and-cup-new-york,86.0,102,0.8431372549019608
cupcake-cafe-new-york,42.0,103,0.4077669902912621
d-and-c-coffee-manhattan,1.0,1,1.0
d-and-m-bakery-inc-new-york,1.0,4,0.25
da-capo-columbus-new-york,38.0,100,0.38
dai-dung-cafe-new-york,1.0,1,1.0
daily-bagel-new-york,14.0,100,0.14
daily-goods-new-york,1.0,6,0.16666666666666666
dan-jones-new-york,31.0,38,0.8157894736842105
david-rubenstein-atrium-new-york,34.0,83,0.40963855421686746
davidovich-bakery-new-york-2,11.0,40,0.275
davidstea-new-york-6,2.0,40,0.05
davidstea-new-york-7,10.0,39,0.2564102564102564
davidstea-new-york-8,9.0,40,0.225
dear-mama-coffee-new-york,64.0,100,0.64
debutea-mini-new-york-3,1.0,7,0.14285714285714285
debutea-new-york,7.0,40,0.175
delicious-bakery-new-york,7.0,40,0.175
demitasse-coffee-and-tea-new-york,79.0,96,0.8229166666666666
den-social-cafe-new-york,22.0,27,0.8148148148148148
devocion-new-york,82.0,92,0.8913043478260869
devocion-new-york-2,8.0,9,0.8888888888888888
dggd-coffee-shop-downtown-brooklyn,5.0,5,1.0
dinos-coffee-shop-new-york,5.0,12,0.4166666666666667
don-paco-lopez-panaderia-new-york-2,0.0,1,0.0
donna-bells-bake-shop-new-york,8.0,40,0.2
double-crispy-bakery-new-york,3.0,40,0.075
doughnut-plant-new-york-2,6.0,40,0.15
doughnut-plant-new-york-5,8.0,40,0.2
doughnut-plant-new-york-6,16.0,60,0.26666666666666666
doughnuttery-new-york,0.0,40,0.0
dr-smood-broadway-organic-cafe-new-york,29.0,101,0.2871287128712871
dr-smood-fashion-district-organic-cafe-new-york,0.0,4,0.0
dr-smood-lexington-organic-cafe-new-york,48.0,101,0.4752475247524752
dr-smood-madison-organic-cafe-new-york,37.0,103,0.3592233009708738
dr-smood-murray-street-new-york,1.0,3,0.3333333333333333
dr-smood-orchard-organic-cafe-new-york,19.0,40,0.475
dr-smood-soho-organic-cafe-new-york-3,42.0,101,0.4158415841584158
dreamers-coffee-house-new-york,5.0,7,0.7142857142857143
dripped-coffee-new-york,12.0,14,0.8571428571428571
dtut-new-york,60.0,100,0.6
dubl-twister-new-york,2.0,5,0.4
dunkin-donut-new-york-4,3.0,13,0.23076923076923078
dunkin-donuts-baskin-robbins-new-york-17,2.0,7,0.2857142857142857
dunkin-donuts-new-york-131,6.0,25,0.24
dunkin-donuts-new-york-66,1.0,4,0.25
dunkin-edgewater,4.0,9,0.4444444444444444
dunkin-long-island-city-11,13.0,32,0.40625
dunkin-manhattan-2,0.0,1,0.0
dunkin-new-york-10,12.0,27,0.4444444444444444
dunkin-new-york-100,0.0,1,0.0
dunkin-new-york-101,5.0,10,0.5
dunkin-new-york-102,8.0,16,0.5
dunkin-new-york-103,12.0,21,0.5714285714285714
dunkin-new-york-105,7.0,16,0.4375
dunkin-new-york-106,9.0,18,0.5
dunkin-new-york-107,16.0,39,0.41025641025641024
dunkin-new-york-108,22.0,42,0.5238095238095238
dunkin-new-york-109,24.0,49,0.4897959183673469
dunkin-new-york-11,11.0,26,0.4230769230769231
dunkin-new-york-111,7.0,23,0.30434782608695654
dunkin-new-york-112,15.0,44,0.3409090909090909
dunkin-new-york-113,10.0,20,0.5
dunkin-new-york-114,9.0,15,0.6
dunkin-new-york-115,6.0,17,0.35294117647058826
dunkin-new-york-116,6.0,11,0.5454545454545454
dunkin-new-york-119,16.0,37,0.43243243243243246
dunkin-new-york-12,8.0,25,0.32
dunkin-new-york-120,4.0,9,0.4444444444444444
dunkin-new-york-121,1.0,3,0.3333333333333333
dunkin-new-york-122,2.0,4,0.5
dunkin-new-york-123,7.0,21,0.3333333333333333
dunkin-new-york-124,6.0,20,0.3
dunkin-new-york-126,3.0,20,0.15
dunkin-new-york-127,18.0,26,0.6923076923076923
dunkin-new-york-128,9.0,18,0.5
dunkin-new-york-13,5.0,13,0.38461538461538464
dunkin-new-york-130,12.0,27,0.4444444444444444
dunkin-new-york-131,8.0,20,0.4
dunkin-new-york-132,5.0,13,0.38461538461538464
dunkin-new-york-133,8.0,12,0.6666666666666666
dunkin-new-york-134,9.0,14,0.6428571428571429
dunkin-new-york-136,6.0,20,0.3
dunkin-new-york-137,10.0,29,0.3448275862068966
dunkin-new-york-138,12.0,29,0.41379310344827586
dunkin-new-york-139,5.0,12,0.4166666666666667
dunkin-new-york-142,6.0,12,0.5
dunkin-new-york-143,10.0,23,0.43478260869565216
dunkin-new-york-144,5.0,16,0.3125
dunkin-new-york-148,17.0,24,0.7083333333333334
dunkin-new-york-15,18.0,23,0.782608695652174
dunkin-new-york-150,17.0,28,0.6071428571428571
dunkin-new-york-151,11.0,26,0.4230769230769231
dunkin-new-york-152,9.0,16,0.5625
dunkin-new-york-153,9.0,19,0.47368421052631576
dunkin-new-york-155,18.0,34,0.5294117647058824
dunkin-new-york-157,5.0,8,0.625
dunkin-new-york-16,2.0,3,0.6666666666666666
dunkin-new-york-161,5.0,20,0.25
dunkin-new-york-162,1.0,2,0.5
dunkin-new-york-163,6.0,21,0.2857142857142857
dunkin-new-york-164,10.0,18,0.5555555555555556
dunkin-new-york-165,24.0,58,0.41379310344827586
dunkin-new-york-166,11.0,40,0.275
dunkin-new-york-17,6.0,15,0.4
dunkin-new-york-170,10.0,12,0.8333333333333334
dunkin-new-york-171,9.0,16,0.5625
dunkin-new-york-172,1.0,3,0.3333333333333333
dunkin-new-york-173,5.0,5,1.0
dunkin-new-york-174,14.0,26,0.5384615384615384
dunkin-new-york-175,1.0,2,0.5
dunkin-new-york-176,0.0,1,0.0
dunkin-new-york-18,2.0,9,0.2222222222222222
dunkin-new-york-19,2.0,12,0.16666666666666666
dunkin-new-york-20,4.0,18,0.2222222222222222
dunkin-new-york-22,10.0,30,0.3333333333333333
dunkin-new-york-23,10.0,20,0.5
dunkin-new-york-24,6.0,12,0.5
dunkin-new-york-25,9.0,24,0.375
dunkin-new-york-27,5.0,12,0.4166666666666667
dunkin-new-york-28,6.0,16,0.375
dunkin-new-york-29,3.0,3,1.0
dunkin-new-york-3,0.0,1,0.0
dunkin-new-york-30,14.0,29,0.4827586206896552
dunkin-new-york-32,12.0,28,0.42857142857142855
dunkin-new-york-33,1.0,3,0.3333333333333333
dunkin-new-york-34,7.0,22,0.3181818181818182
dunkin-new-york-36,10.0,29,0.3448275862068966
dunkin-new-york-39,1.0,10,0.1
dunkin-new-york-40,1.0,3,0.3333333333333333
dunkin-new-york-41,18.0,51,0.35294117647058826
dunkin-new-york-42,15.0,27,0.5555555555555556
dunkin-new-york-43,7.0,16,0.4375
dunkin-new-york-44,3.0,4,0.75
dunkin-new-york-45,9.0,24,0.375
dunkin-new-york-46,5.0,17,0.29411764705882354
dunkin-new-york-47,11.0,33,0.3333333333333333
dunkin-new-york-49,6.0,12,0.5
dunkin-new-york-5,1.0,1,1.0
dunkin-new-york-50,11.0,26,0.4230769230769231
dunkin-new-york-51,2.0,7,0.2857142857142857
dunkin-new-york-52,1.0,2,0.5
dunkin-new-york-53,13.0,22,0.5909090909090909
dunkin-new-york-54,0.0,1,0.0
dunkin-new-york-55,0.0,1,0.0
dunkin-new-york-56,11.0,24,0.4583333333333333
dunkin-new-york-57,4.0,11,0.36363636363636365
dunkin-new-york-58,1.0,1,1.0
dunkin-new-york-6,3.0,5,0.6
dunkin-new-york-60,2.0,7,0.2857142857142857
dunkin-new-york-61,3.0,11,0.2727272727272727
dunkin-new-york-62,12.0,24,0.5
dunkin-new-york-65,6.0,12,0.5
dunkin-new-york-66,6.0,14,0.42857142857142855
dunkin-new-york-68,3.0,12,0.25
dunkin-new-york-69,6.0,14,0.42857142857142855
dunkin-new-york-70,9.0,21,0.42857142857142855
dunkin-new-york-71,11.0,28,0.39285714285714285
dunkin-new-york-72,5.0,12,0.4166666666666667
dunkin-new-york-73,13.0,25,0.52
dunkin-new-york-74,2.0,9,0.2222222222222222
dunkin-new-york-76,24.0,52,0.46153846153846156
dunkin-new-york-78,4.0,9,0.4444444444444444
dunkin-new-york-79,1.0,3,0.3333333333333333
dunkin-new-york-8,3.0,8,0.375
dunkin-new-york-80,2.0,7,0.2857142857142857
dunkin-new-york-81,0.0,7,0.0
dunkin-new-york-82,5.0,14,0.35714285714285715
dunkin-new-york-84,12.0,26,0.46153846153846156
dunkin-new-york-86,1.0,4,0.25
dunkin-new-york-87,7.0,10,0.7
dunkin-new-york-88,12.0,43,0.27906976744186046
dunkin-new-york-89,11.0,19,0.5789473684210527
dunkin-new-york-9,8.0,16,0.5
dunkin-new-york-90,7.0,19,0.3684210526315789
dunkin-new-york-92,11.0,31,0.3548387096774194
dunkin-new-york-93,17.0,35,0.4857142857142857
dunkin-new-york-94,8.0,20,0.4
dunkin-new-york-95,9.0,20,0.45
dunkin-new-york-97,10.0,15,0.6666666666666666
dunkin-new-york-98,12.0,30,0.4
dunkin-north-bergen-5,1.0,2,0.5
dunkin-weehawken,1.0,5,0.2
easy-victor-cafe-new-york,7.0,10,0.7
eat-pretty-new-york-4,15.0,18,0.8333333333333334
eclair-bakery-new-york,23.0,102,0.22549019607843138
effys-kitchen-new-york-2,23.0,100,0.23
el-barrista-cafe-new-york-2,18.0,19,0.9473684210526315
el-chevere-bakery-new-york,3.0,15,0.2
elis-essentials-new-york-6,10.0,47,0.2127659574468085
elis-essentials-new-york-7,4.0,16,0.25
elis-night-shift-new-york-3,13.0,81,0.16049382716049382
elsewhere-espresso-new-york,34.0,40,0.85
evantinas-coffee-cart-new-york,1.0,1,1.0
everyman-espresso-new-york,38.0,40,0.95
everyman-espresso-new-york-2,92.0,101,0.9108910891089109
feed-shop-and-cafe-brooklyn-2,17.0,19,0.8947368421052632
feed-your-soul-cafe-new-york,10.0,12,0.8333333333333334
felix-roasting-co-new-york-3,91.0,100,0.91
feroce-caffè-new-york-6,7.0,10,0.7
fiat-cafe-new-york,27.0,110,0.24545454545454545
filicori-zecchini-new-york-5,16.0,20,0.8
financier-patisserie-new-york-30,34.0,70,0.4857142857142857
financier-patisserie-new-york-33,33.0,100,0.33
financier-patisserie-new-york-34,42.0,101,0.4158415841584158
financier-patisserie-new-york-35,44.0,100,0.44
finn-s-bagels-new-york,11.0,40,0.275
five-and-dime-new-york,48.0,86,0.5581395348837209
five-stuy-cafe-new-york,46.0,66,0.696969696969697
flora-coffee-new-york,21.0,24,0.875
flour-shop-new-york-2,3.0,40,0.075
